delivery_date,loaded_vehicles
2025-02-24,1003
2025-02-25,2146
2025-02-26,2186
2025-02-27,2071
2025-02-28,1991
2025-03-01,926
2025-03-03,704
2025-03-04,57
2025-03-05,1696
2025-03-06,1633
2025-03-07,1900
2025-03-08,921
2025-03-10,1135
2025-03-11,2078
2025-03-12,1914
2025-03-13,1887
2025-03-14,1836
2025-03-15,759
2025-03-17,1130
2025-03-18,2041
2025-03-19,1749
2025-03-20,1837
2025-03-21,1885
2025-03-22,717
2025-03-23,4
2025-03-24,1131
2025-03-25,1916
2025-03-26,2043
2025-03-27,1966
2025-03-28,1916
2025-03-29,829
2025-03-30,13
2025-03-31,1087
2025-04-01,1985
2025-04-02,1949
2025-04-03,1912
2025-04-04,1866
2025-04-05,752
2025-04-06,1
2025-04-07,1077
2025-04-08,2119
2025-04-09,2096
2025-04-10,1984
2025-04-11,2021
2025-04-12,859
2025-04-14,1288
2025-04-15,2315
2025-04-16,2253
2025-04-17,2000
2025-04-18,2
2025-04-19,924
2025-04-20,4
2025-04-21,63
2025-04-22,1555
2025-04-23,2426
2025-04-24,2175
2025-04-25,2131
2025-04-26,984
2025-04-27,1
2025-04-28,1411
2025-04-29,2275
2025-04-30,2086
2025-05-01,10
2025-05-02,2259
2025-05-03,1031
2025-05-05,1458
2025-05-06,2231
2025-05-07,2229
2025-05-08,2159
2025-05-09,2118
2025-05-10,966
2025-05-11,2
2025-05-12,1300
2025-05-13,2104
2025-05-14,2217
2025-05-15,1861
2025-05-16,2033
2025-05-17,769
2025-05-19,788
