delivery_date,loaded_vehicles
2023-01-18,1300
2023-01-19,1238
2023-01-20,1300
2023-01-21,839
2023-01-23,576
2023-01-24,1423
2023-01-25,1359
2023-01-26,1285
2023-01-27,1287
2023-01-28,874
2023-01-30,609
2023-01-31,1318
2023-02-01,1421
2023-02-02,1251
2023-02-03,1358
2023-02-04,811
2023-02-06,692
2023-02-07,1331
2023-02-08,1282
2023-02-09,1322
2023-02-10,1303
2023-02-11,842
2023-02-12,1
2023-02-13,712
2023-02-14,1462
2023-02-15,1340
2023-02-16,1370
2023-02-17,1307
2023-02-18,928
2023-02-20,469
2023-02-21,14
2023-02-22,1232
2023-02-23,1360
2023-02-24,1374
2023-02-25,874
2023-02-27,679
2023-02-28,1356
2023-03-01,1336
2023-03-02,1241
2023-03-03,1248
2023-03-04,768
2023-03-06,626
2023-03-07,1072
2023-03-08,1262
2023-03-09,1383
2023-03-10,1419
2023-03-11,939
2023-03-13,752
2023-03-14,1414
2023-03-15,1371
2023-03-16,1390
2023-03-17,1312
2023-03-18,835
2023-03-20,591
2023-03-21,1389
2023-03-22,1317
2023-03-23,1242
2023-03-24,1357
2023-03-25,773
2023-03-27,716
2023-03-28,1376
2023-03-29,1416
2023-03-30,1335
2023-03-31,1375
2023-04-01,793
2023-04-03,604
2023-04-04,1520
2023-04-05,1518
2023-04-06,1527
2023-04-07,12
2023-04-08,964
2023-04-10,764
2023-04-11,1543
2023-04-12,1526
2023-04-13,1461
2023-04-14,1478
2023-04-15,923
2023-04-17,791
2023-04-18,1576
2023-04-19,1611
2023-04-20,1584
2023-04-21,87
2023-04-22,1048
2023-04-24,1034
2023-04-25,1642
2023-04-26,1647
2023-04-27,1618
2023-04-28,1578
2023-04-29,1271
2023-05-02,570
2023-05-03,1531
2023-05-04,1478
2023-05-05,1584
2023-05-06,1042
2023-05-08,886
2023-05-09,1670
2023-05-10,1678
2023-05-11,1688
2023-05-12,1649
2023-05-13,1006
2023-05-15,705
2023-05-16,1597
2023-05-17,1607
2023-05-18,1594
2023-05-19,1486
2023-05-20,908
2023-05-22,738
2023-05-23,1655
2023-05-24,1601
2023-05-25,1517
2023-05-26,1535
2023-05-27,878
2023-05-29,803
2023-05-30,1611
2023-05-31,1510
2023-06-01,1553
2023-06-02,1523
2023-06-03,852
2023-06-05,728
2023-06-06,1625
2023-06-07,1688
2023-06-08,616
2023-06-09,1619
2023-06-10,1044
2023-06-12,934
